State,Term 1 start date,Term 1 end date,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address,Timezone
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Monday,12:30pm - 1:00pm,Manor Lakes Library,"86 Manor Lakes Blvd, Manor Lakes VIC 3024",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Thursday,10:30am - 11:00am,Manor Lakes Library,"86 Manor Lakes Blvd, Manor Lakes VIC 3024",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Tuesday,9:30am - 10:00am,Point Cook Library,"1-21 Cheetham St, Point Cook VIC 3029",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Wednesday,9:30am - 10:00am,Point Cook Library,"1-21 Cheetham St, Point Cook VIC 3029",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Saturday,10:15am - 10:45am,Point Cook Library,"1-21 Cheetham St, Point Cook VIC 3029",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Tuesday,10:30am - 11:00am,Truganina Library Lounge,"1 Everton Rd, Truganina VIC 3029",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Thursday,10:30am - 11:00am,Truganina Library Lounge,"1 Everton Rd, Truganina VIC 3029",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Monday,10:30am - 11:00am,Williams Landing Library Lounge,"Unit 1/101 Overton Rd, Williams Landing VIC 3027",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Wednesday,10:15am - 10:45am,Williams Landing Library Lounge,"Unit 1/101 Overton Rd, Williams Landing VIC 3027",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Wednesday,11:30am - 12:00pm,Williams Landing Library Lounge,"Unit 1/101 Overton Rd, Williams Landing VIC 3027",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Thursday,10:30am - 11:00am,Williams Landing Library Lounge,"Unit 1/101 Overton Rd, Williams Landing VIC 3027",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Friday,9:30am - 10:00am,Williams Landing Library Lounge,"Unit 1/101 Overton Rd, Williams Landing VIC 3027",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Friday,11:00am - 11:30am,Williams Landing Library Lounge,"Unit 1/101 Overton Rd, Williams Landing VIC 3027",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time - Pop Up,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Wednesday,10:00am - 10:30am,Dianella Community Centre,"6 Congo Dr, Tarneit VIC 3029",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time - Pop Up,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Thursday,2:15pm - 2:45pm,The Grange Community Centre,"260-280 Hogans Rd, Hoppers Crossing VIC 3029",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time - Pop Up,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Tuesday,10:00am - 10:30am,Lollypop Creek Community Centre,"104 Shipwright Parade, Werribee VIC 3030",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time - Pop Up,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Tuesday,1:45pm - 2:15pm,Saltwater Community Centre,"153 Saltwater Promenade, Point Cook VIC 3030",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Rhyme Time - Pop Up,music_book,"Stories, songs and rhymes designed to develop early language, literacy and numeracy skills.",1 - 5 years,Thursday,10:00am - 10:30am,"Wyndham Park, West Lawn","Cottrell St, Werribee VIC 3030",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Story Time,teddy_book,"Sessions include stories, songs and rhymes, and a simple craft activity designed to develop early language, literacy and numeracy skills.",3 - 5 years,Wednesday,11:00am - 11:30am,Julia Gillard Library Tarneit,"150 Sunset Views Blvd, Tarneit VIC 3029",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Story Time,teddy_book,"Sessions include stories, songs and rhymes, and a simple craft activity designed to develop early language, literacy and numeracy skills.",3 - 5 years,Friday,10:30am - 11:00am,Manor Lakes Library,"86 Manor Lakes Blvd, Manor Lakes VIC 3024",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Story Time,teddy_book,"Sessions include stories, songs and rhymes, and a simple craft activity designed to develop early language, literacy and numeracy skills.",3 - 5 years,Tuesday,11:00am - 11:30am,Point Cook Library,"1-21 Cheetham St, Point Cook VIC 3029",UTC+11
VIC,28/1/2025,4/4/2025,Wyndham,Story Time,teddy_book,"Sessions include stories, songs and rhymes, and a simple craft activity designed to develop early language, literacy and numeracy skills.",3 - 5 years,Friday,10:00am - 10:30am,Point Cook Library,"1-21 Cheetham St, Point Cook VIC 3029",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Story Time,teddy_book,"Join us for stories, songs, and rhymes exploring adventures in nature.",1-5,Monday,10:00am - 10:30am,Newport Community Hub,"13 Mason St, Newport 3015",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Baby Time ,baby,A gentle session with songs and stories to nurture early language skills.,0-2,Monday,11:00am - 11:30am,Newport Community Hub,"13 Mason St, Newport 3015",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Game On!,?,After school program focused on fun games for primary-aged children.,5-12,Monday,3:30pm - 4:30pm,Newport Community Hub,"13 Mason St, Newport 3016",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Story Scribblers,?,Support for primary school children who find reading challenging.,5-12,Monday,3:45pm to 04:45pm,Williamstown Library,"104 Ferguson St, Williamstown 3016",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Baby Time,baby,Engaging session with songs and literacy tips for babies.,0-2,Tuesday,11:00am - 11:30am,Altona Library,"123 Queen St, Altona 3018",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,LEGO Challenge ,?,Weekly LEGO challenges to enhance problem-solving skills and creativity.,5-12,Tuesday,3:30pm - 4:30pm,Williamstown Library,"104 Ferguson St, Williamstown 3016",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Baby Time ,baby,Gentle session with songs and stories to foster love for reading.,0-2,Wednesday,9:30am - 10:00am,Seabrook Community Centre,"15 Truganina Ave, Seabrook 3028",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Story Time,teddy_book,"Stories, songs, and rhymes that take children on exciting adventures.",0-5,Wednesday,10:00am - 10:30am,Brooklyn Community Hall,"35 Nolan Avenue, Brooklyn 3012",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Story Time ,teddy_book,Join for stories and songs exploring various themes and seasons.,0-5,Wednesday,10:30am - 11:00am,Seabrook Community Centre,"15 Truganina Ave, Seabrook 3028",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Baby Time ,baby,Gentle songs and rhymes to support early literacy development.,0-2,Wednesday,11:00am - 11:30am,Brooklyn Community Hall,"35 Nolan Avenue, Brooklyn 3012",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,STEAM Discovery Time,?,Explore STEAM topics through play-based learning for preschoolers.,3-5,Wednesday,11:00am - 12:00pm,Altona Meadows Library and Learning Centre,"2 Newham Way, Altona Meadows 3028",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,LEGO Challenge ,?,Creative LEGO challenges to develop problem-solving skills.,5-12,Wednesday,3:30pm to 4:30pm,Altona Library,"123 Queen St, Altona 3018",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Story Time,teddy_book,"Engaging stories, songs, and rhymes to spark children's imagination.",0-5,Thursday,10:00am - 10:30am,Altona Meadows Library and Learning Centre,"2 Newham Way, Altona Meadows 3028",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Baby Time,baby,Interactive session with stories and rhymes for babies.,0-2,Thursday,11:00am - 11:30am,Altona Meadows Library and Learning Centre,"2 Newham Way, Altona Meadows 3028",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Environmental Discovery Time,?,Program for preschoolers to learn about the environment through play.,3-5,Thursday,11:00am - 12:00pm,Altona Library,"123 Queen St, Altona 3018",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,LEGO Challenge ,?,Creative LEGO challenges to develop problem-solving skills.,5-12,Thursday,3:30pm - 4:30pm,STEAM Centre at Altona Meadows Library,"2 Newham Way, Altona Meadows 3028",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Story Time,teddy_book,Join for fun stories and rhymes exploring different themes.,0-5,Friday,9:30am - 10:00am,Woods Street Art Space,"44 Woods Street, Laverton 3028",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Story Time ,teddy_book,Engaging storytelling session filled with songs and rhymes.,0-5,Friday,10:00am - 10:30am,Williamstown Library,"104 Ferguson St, Williamstown 3016",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Baby Time ,baby,Gentle session focusing on songs and literacy for early development.,0-2,Friday,11:00am - 11:30am,Williamstown Library,"104 Ferguson St, Williamstown 3016",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,STEAM Club,?,Use creativity in a scientific way through hands-on activities.,5-12,Friday,3:30pm - 4:30pm,Altona Meadows Library and Learning Centre,"2 Newham Way, Altona Meadows 3028",UTC+11
VIC,28/1/2025,4/4/2025,Hobsons Bay,Story Time,teddy_book,Stories and songs that ignite children's imagination and learning.,0-5,Monday,10:00am - 10:30am,Altona Library,"123 Queen St, Altona 3018",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Story Time,teddy_book,Nurture a love of reading and early literacy with classic tales and singalongs.,3-5,Tuesday,11:00 AM - 11:45 AM,Braybrook Library,"107-109 Churchill Avenue, Braybrook 3019",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Story Time,teddy_book,Nurture a love of reading and early literacy with classic tales and singalongs.,3-5,Wednesday,11:00 AM - 11:45 AM,Footscray Library,"56 Paisley Street, Footscray 3011",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Story Time,teddy_book,Nurture a love of reading and early literacy with classic tales and singalongs.,3-5,Thursday,11:00 AM - 11:45 AM,Maribyrnong Library,"120 Rosamond Road, Maribyrnong 3032",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Story Time,teddy_book,Nurture a love of reading and early literacy with classic tales and singalongs.,3-5,Saturday,11:00 AM - 11:30 AM,West Footscray Library,"539 Barkly Street, West Footscray 3012",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Story Time,teddy_book,Nurture a love of reading and early literacy with classic tales and singalongs.,3-5,Monday,11:00 AM - 11:30 AM,Yarraville Library,"32 Wembley Avenue, Yarraville 3013",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Toddler Time,music_book,"Engage toddlers in singing, stories, movement, and play to support language development and social skills.",1-3,Monday,02:00 PM - 02:30 PM,Braybrook Library,"107-109 Churchill Avenue, Braybrook 3019",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Toddler Time,music_book,"Engage toddlers in singing, stories, movement, and play to support language development and social skills.",1-3,Wednesday,11:00 AM - 11:30 AM,Yarraville Library,"32 Wembley Avenue, Yarraville 3013",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Toddler Time,music_book,"Engage toddlers in singing, stories, movement, and play to support language development and social skills.",1-3,Friday,11:00 AM - 11:30 AM,West Footscray Library,"539 Barkly Street, West Footscray 3012",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Bilingual Story Time,teddy_book,"Inspire a love of reading and support early bilingual skills through stories, songs, and rhymes.  Note: languages rotate - Vietnamese, Arabic, Hindi, Chinese.",0-5,Wednesday,11:00 AM - 11:30 AM,Braybrook Library,"107-109 Churchill Avenue, Braybrook, 3019",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Baby Rhyme Time,baby,"Engaging sessions with rhymes, stories, and songs to encourage language development.",0-1,Wednesday,02:00 PM - 02:30 PM,Footscray Library,"56 Paisley Street, Footscray, 3011",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Baby Rhyme Time,baby,"Engaging sessions with rhymes, stories, and songs to encourage language development.",0-1,Thursday,11:00 AM - 11:30 AM,Yarraville Library,"32 Wembley Avenue, Yarraville, 3015",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Baby Rhyme Time,baby,"Engaging sessions with rhymes, stories, and songs to encourage language development.",0-1,Thursday,02:00 PM - 02:30 PM,Maribyrnong Library,"200 Rosamond Road, Maribyrnong, 3032",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Baby Rhyme Time,baby,"Engaging sessions with rhymes, stories, and songs to encourage language development.",0-1,Friday,11:00 AM - 11:30 AM,Braybrook Library,"107-139 Churchill Avenue, Braybrook, 3019",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Baby Rhyme Time,baby,"Engaging sessions with rhymes, stories, and songs to encourage language development.",0-1,Tuesday,11:00 AM - 11:30 AM,West Footscray Library,"539 Barkly Street, West Footscray, 3012",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Kids Club,?,"Experience a world of fun and creativity with arts, crafts, games, and experiments.",6-12,Wednesday,04:00 PM - 05:00 PM,Braybrook Library,"107-109 Churchill Avenue, Braybrook, 3019",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Kids Club,?,"Experience a world of fun and creativity with arts, crafts, games, and experiments.",6-12,Saturday,11:00 AM - 12:00 PM,Braybrook Library,"107-109 Churchill Avenue, Braybrook, 3019",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Kids Club,?,"Experience a world of fun and creativity with arts, crafts, games, and experiments.",6-12,Friday,04:00 PM - 05:00 PM,Yarraville Library,"32 Wembley Avenue, Yarraville, 3013",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Busy Builders,blocks,Help toddlers develop fine motor skills and creativity at this DUPLO club with hands-on building.,6 - 3,Thursday,11:00 AM - 12:00 PM,West Footscray Library,"539 Barkly Street, West Footscray, 3012",UTC+11
VIC,28/1/2025,4/4/2025,Maribyrnong,Auslan Bilingual Story Time,teddy_book,Nurture a love of reading and early literacy in Auslan and English with a deaf storyteller.,3 - 5,Tuesday,11:00 AM - 11:45 AM,Braybrook Library,"107-109 Churchill Avenue, Braybrook, 3019",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Baby Karaoke,baby,Join us for a fun and interactive session of singing simple songs and nursery rhymes to promote early language development.,0-1,Monday,10:30 AM - 11:00 AM,Box Hill Library,"1040 Whitehorse Road, Box Hill",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Baby Karaoke,baby,Join us for a fun and interactive session of singing simple songs and nursery rhymes to promote early language development.,0-1,Thursday,2:30 PM - 3:00 PM,Bulleen Library,"397 Thompsons Road, Bulleen",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Baby Karaoke,baby,Join us for a fun and interactive session of singing simple songs and nursery rhymes to promote early language development.,0-1,Tuesday,2:30 PM - 3:00 PM,Doncaster  Library,"670 Doncaster Road, Doncaster",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Baby Karaoke,baby,Join us for a fun and interactive session of singing simple songs and nursery rhymes to promote early language development.,0-1,Tuesday,2:30 PM - 3:00 PM,Nunawading  Library,"379 Whitehorse Road, Nunawading",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Baby Karaoke,baby,Join us for a fun and interactive session of singing simple songs and nursery rhymes to promote early language development.,0-1,Monday,10:30 AM - 11:00 AM,The Pines  Library,"135 Reynolds Road, Pines",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Baby Karaoke,baby,Join us for a fun and interactive session of singing simple songs and nursery rhymes to promote early language development.,0-1,Thursday,2:30 PM - 3:00 PM,Vermont South  Library,"2-4 Sweeney Drive, Vermont South",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Baby Karaoke,baby,Join us for a fun and interactive session of singing simple songs and nursery rhymes to promote early language development.,0-1,Wednesday,2:30 PM - 3:00 PM,Warrandyte  Library,"6 Yarra Street, Warrandyte",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Tiny Tots,baby,Join us for a fun and interactive session of storytelling and singing to support early literacy development.,1 -2,Tuesdays,2:30 PM - 3:00 PM,Blackburn,"3-5 Central Road, Blackburn",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Tiny Tots,baby,Join us for a fun and interactive session of storytelling and singing to support early literacy development.,1 -2,Thursdays,10:30 AM - 11:00 AM,Box Hill,"1040 Whitehorse Road, Box Hill",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Tiny Tots,baby,Join us for a fun and interactive session of storytelling and singing to support early literacy development.,1 -2,Wednesdays,10:30 AM - 11:00 AM,Bulleen,"397 Thompsons Road, Bulleen",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Tiny Tots,baby,Join us for a fun and interactive session of storytelling and singing to support early literacy development.,1 -2,Mondays,10:30 AM - 11:00 AM,Doncaster,"670 Doncaster Road, Doncaster",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Tiny Tots,baby,Join us for a fun and interactive session of storytelling and singing to support early literacy development.,1 -2,Mondays,2:30 PM - 3:00 PM,Nunawading,"379 Whitehorse Road, Nunawading",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Tiny Tots,baby,Join us for a fun and interactive session of storytelling and singing to support early literacy development.,1 -2,Fridays,10:30 AM - 11:00 AM,Nunawading,"379 Whitehorse Road, Nunawading",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Tiny Tots,baby,Join us for a fun and interactive session of storytelling and singing to support early literacy development.,1 -2,Tuesdays,10:30 AM - 11:00 AM,The Pines,"135 Reynolds Road, Pines",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Tiny Tots,baby,Join us for a fun and interactive session of storytelling and singing to support early literacy development.,1 -2,Tuesdays,10:30 AM - 11:00 AM,Vermont South,"2-4 Sweeney Drive, Vermont South",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Pre School Storytime,teddy_book,Join us for a fun and interactive session of storytelling and rhymes to foster a love for reading.,2 - 3 years,Thursdays,11:00 AM - 11:45 AM,Blackburn,"3-5 Central Road, Blackburn",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Pre School Storytime,teddy_book,Join us for a fun and interactive session of storytelling and rhymes to foster a love for reading.,2 - 3 years,Fridays,11:00 AM - 11:45 AM,Box Hill,"1040 Whitehorse Road, Box Hill",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Pre School Storytime,teddy_book,Join us for a fun and interactive session of storytelling and rhymes to foster a love for reading.,2 - 3 years,Mondays,11:00 AM - 11:45 AM,Bulleen,"397 Thompsons Road, Bulleen",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Pre School Storytime,teddy_book,Join us for a fun and interactive session of storytelling and rhymes to foster a love for reading.,2 - 3 years,Wednesdays,11:00 AM - 11:45 AM,Doncaster,"670 Doncaster Road, Doncaster",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Pre School Storytime,teddy_book,Join us for a fun and interactive session of storytelling and rhymes to foster a love for reading.,2 - 3 years,Tuesdays,11:00 AM - 11:45 AM,Nunawading,"379 Whitehorse Road, Nunawading",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Pre School Storytime,teddy_book,Join us for a fun and interactive session of storytelling and rhymes to foster a love for reading.,2 - 3 years,Thursdays,11:00 AM - 11:45 AM,The Pines,"135 Reynolds Road, Pines",UTC+11
VIC,28/1/2025,4/4/2025,Manningham,Pre School Storytime,teddy_book,Join us for a fun and interactive session of storytelling and rhymes to foster a love for reading.,2 - 3 years,Fridays,11:00 AM - 11:45 AM,Vermont South,"2-4 Sweeney Drive, Vermont South",UTC+11
